timestamp,tank_id,do_mg_l,nh4_ppm,no2_ppm,no3_ppm,water_temp_c,ph,alkalinity_mg_l,salinity_ppt,n_conv_speed,alert,alert_types,data_source
2026-02-06 13:59:45.234503,T01,6.932,0.0632,0.0171,10.18,28.04,7.98,98.6,19.38,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 14:29:45.234503,T01,7.053,0.056,0.026,10.32,27.94,8.02,107.5,19.76,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 14:59:45.234503,T01,6.855,0.0451,0.0229,10.17,27.88,8.05,103.8,19.56,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 15:29:45.234503,T01,6.907,0.0324,0.0292,10.18,28.04,7.98,107.3,19.67,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 15:59:45.234503,T01,6.744,0.0345,0.0239,10.1,28.06,8.07,107.7,19.68,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 16:29:45.234503,T01,7.173,0.0455,0.0263,10.46,27.77,7.93,102.0,19.4,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 16:59:45.234503,T01,6.828,0.039,0.0256,10.17,28.47,7.95,109.4,19.58,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 17:29:45.234503,T01,6.624,0.0432,0.0171,9.99,28.17,8.06,111.2,19.58,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 17:59:45.234503,T01,6.744,0.0435,0.0221,10.02,28.04,7.92,107.2,19.63,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 18:29:45.234503,T01,6.772,0.0434,0.0282,10.33,27.81,7.86,106.1,19.54,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 18:59:45.234503,T01,6.946,0.0457,0.0206,10.02,27.7,7.99,104.8,19.91,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 19:29:45.234503,T01,6.97,0.0549,0.0164,10.27,27.88,7.93,110.5,19.88,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 19:59:45.234503,T01,6.725,0.0418,0.0263,10.46,27.9,7.91,103.2,19.54,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 20:29:45.234503,T01,6.683,0.0424,0.0219,9.48,28.5,7.88,106.1,19.85,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 20:59:45.234503,T01,6.936,0.0303,0.0205,10.02,28.38,8.0,106.9,19.85,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 21:29:45.234503,T01,6.801,0.048,0.0244,10.16,28.09,8.01,102.1,19.37,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 21:59:45.234503,T01,6.808,0.0372,0.0234,9.93,28.08,7.88,105.7,19.93,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 22:29:45.234503,T01,6.851,0.0436,0.0208,10.27,28.09,7.99,101.4,19.88,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 22:59:45.234503,T01,6.417,0.0497,0.0211,9.59,27.8,7.96,105.0,19.89,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 23:29:45.234503,T01,6.844,0.0329,0.0234,9.92,27.89,7.95,104.9,20.07,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-06 23:59:45.234503,T01,7.15,0.0429,0.0197,9.92,27.95,7.98,105.0,19.58,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 00:29:45.234503,T01,7.198,0.0562,0.0232,10.13,27.9,7.94,106.3,19.66,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 00:59:45.234503,T01,6.797,0.0444,0.0245,10.21,28.02,8.04,106.7,19.66,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 01:29:45.234503,T01,6.969,0.0469,0.0237,10.45,27.24,7.96,100.9,20.04,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 01:59:45.234503,T01,6.781,0.0592,0.028,10.51,27.94,7.92,102.4,19.9,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 02:29:45.234503,T01,6.831,0.0381,0.0242,9.87,28.04,8.01,105.2,19.98,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 02:59:45.234503,T01,6.643,0.0366,0.019,10.4,27.93,7.97,102.4,19.9,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 03:29:45.234503,T01,6.862,0.0454,0.0208,10.24,27.86,8.05,104.9,20.26,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 03:59:45.234503,T01,6.615,0.0373,0.02,10.18,27.91,7.94,106.0,19.48,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 04:29:45.234503,T01,6.973,0.0378,0.0205,10.2,27.88,7.92,105.3,19.59,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 04:59:45.234503,T01,6.889,0.0504,0.0196,10.46,27.83,8.02,101.4,19.67,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 05:29:45.234503,T01,6.781,0.0436,0.0247,9.87,28.14,7.95,106.5,19.31,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 05:59:45.234503,T01,6.857,0.0466,0.0253,10.55,28.25,8.01,109.9,19.62,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 06:29:45.234503,T01,7.101,0.0564,0.0228,10.53,27.86,8.0,106.1,19.54,0.25,1,NITRO_SLOW,dummy_sensor
2026-02-07 06:59:45.234503,T01,6.85,0.036,0.0268,10.56,27.64,7.96,104.3,19.28,0.25,1,NITRO_SLOW,dummy_sensor
